Key_Response.keys,Key_Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Sequences,Repeat,BreakTime,session,date,expName,psychopyVersion,OS,frameRate
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""3"",""1""]","[0.895,1.079,1.325,1.856,2.779,6.697,7.061,7.584,7.747,7.978,8.498,8.824]",0,0,0,0,1,41324,,10,1,2020-10-06_11h59.07.833,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""2"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[0.787,1.045,1.69,1.879,2.177,2.621,3.204,4.378,4.495,4.752,5.01,5.204,5.601,5.786,6.084,6.387,6.862,7.101,7.308,7.538,7.84,8.287,8.548,8.726,8.948,9.262,9.656,9.912]",0,1,1,1,1,41324,,10,1,2020-10-06_11h59.07.833,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2""]","[0.552,1.132,1.409,1.602,1.86,2.097,2.609,2.929,3.127,3.367,3.626,3.925,4.155,4.26,4.509,4.772,5.61,5.834,5.987,6.235,6.534,6.796,7.038,7.164,7.436,7.721,8.251,8.498,8.625,8.898,9.189,9.615,9.858,9.979]",0,2,2,2,1,41324,,10,1,2020-10-06_11h59.07.833,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[0.589,0.768,1.042,1.165,1.512,1.736,1.934,2.156,2.263,2.485,2.739,3.09,3.301,3.413,3.661,3.946,4.201,4.55,4.644,4.879,5.139,5.384,5.659,5.764,5.978,6.209,6.44,6.787,6.896,7.136,7.417,7.63,7.867,7.981,8.233,8.506,8.693,8.946,9.085,9.295,9.576,9.778,10]",0,3,3,3,1,41324,,10,1,2020-10-06_11h59.07.833,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4""]","[0.879,1.043,1.242,1.335,1.526,1.732,1.944,2.175,2.277,2.469,2.7,2.879,3.209,3.308,3.525,3.759,4.042,4.274,4.365,4.574,4.841,5.009,5.283,5.386,5.601,5.847,6.047,6.308,6.41,6.612,6.877,7.086,7.374,7.474,7.712,8.449,8.832,9.24,9.33,9.619,10.001]",0,4,4,4,1,41324,,30,1,2020-10-06_11h59.07.833,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""2""]","[0.583,0.984,1.233,1.55,1.996,2.404,2.709,2.936,3.189,3.428,3.747,4.175,4.486,4.756,5.015,5.353,5.571,5.981,6.242,6.513,6.905,7.285,7.551,7.882,8.167,8.515,8.776,9.022,9.294,9.586,10.001]",0,5,5,5,1,42314,,10,1,2020-10-06_11h59.07.833,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""2"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""2""]","[0.954,1.213,1.52,1.841,2.113,2.514,2.704,2.914,3.161,3.361,3.602,3.794,3.98,4.25,4.506,4.906,6.328,6.703,6.944,7.16,7.371,7.634,7.898,8.117,8.377,8.654,9.121]",0,6,6,6,1,42314,,10,1,2020-10-06_11h59.07.833,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""4"",""4"",""4"",""2"",""3""]","[0.88,1.184,1.552,1.831,2.09,2.347,2.582,2.806,3.089,3.375,3.69,3.881,4.118,4.411,4.668,4.986,5.885,6.156,6.467,6.667,6.944,7.145,7.397,7.689,8.605,9.523,9.731,9.97]",0,7,7,7,1,42314,,10,1,2020-10-06_11h59.07.833,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4""]","[0.497,0.735,1.047,1.335,1.56,1.785,1.955,2.159,2.646,2.934,3.109,3.337,3.539,3.834,4.264,4.561,4.771,4.973,5.289,5.54,5.9,6.291,6.53,6.814,7.09,7.405,7.605,7.8,8.286,8.488,8.744,8.967,9.244,9.517,9.81]",0,8,8,8,1,42314,,10,1,2020-10-06_11h59.07.833,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2""]","[0.827,1.026,1.329,1.678,1.903,2.146,2.39,2.642,2.962,3.244,3.505,3.72,3.949,4.485,4.708,5.004,5.23,5.475,5.742,6.242,6.57,7.034,7.337,7.67,7.91,8.242,8.453,8.71,8.974,9.244,9.546,9.777]",0,9,9,9,1,42314,,10,1,2020-10-06_11h59.07.833,Sequence Training,2020.1.3,Win32,60
