Key_Response.keys,Key_Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Sequences,Repeat,BreakTime,session,date,expName,psychopyVersion,OS,frameRate,Keys_QuestionareQ1.keys,Keys_QuestionareQ1.rt,Keys_QuestionareQ2.keys,Keys_QuestionareQ2.rt,Keys_QuestionareQ3.keys,Keys_QuestionareQ3.rt
"[""4"",""1"",""2"",""2"",""4"",""4"",""1"",""2""]","[2.44,2.958,4.053,5.679,6.179,8.462,9.52,9.917]",0.0,0.0,0.0,0.0,1.0,41324.0,,10.0,1,2021-01-12_11h10.57.681,Sequence Training,2020.1.3,Win32,60,,,,,,
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[1.785,2.065,2.879,3.329,4.155,5.37,5.753,6.342,6.745,7.223,8.115,8.483,8.991,9.423,9.9]",0.0,1.0,1.0,1.0,1.0,41324.0,,10.0,1,2021-01-12_11h10.57.681,Sequence Training,2020.1.3,Win32,60,,,,,,
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[1.947,2.205,2.627,2.851,3.328,3.861,4.166,4.478,4.735,5.071,5.509,5.8,6.095,6.382,6.733,8.553,8.828,9.122,9.343,9.601]",0.0,2.0,2.0,2.0,1.0,41324.0,,10.0,1,2021-01-12_11h10.57.681,Sequence Training,2020.1.3,Win32,60,,,,,,
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[1.392,1.667,2.064,2.347,2.892,3.286,3.548,3.946,4.4,4.734,5.444,5.789,6.105,6.392,6.698,7.061,7.344,7.653,7.902,8.241,8.564,8.867,9.188,9.435,9.806]",0.0,3.0,3.0,3.0,1.0,41324.0,,10.0,1,2021-01-12_11h10.57.681,Sequence Training,2020.1.3,Win32,60,,,,,,
"[""4"",""2"",""3"",""2"",""4"",""1"",""3"",""2"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4""]","[1.573,1.791,2.757,3.386,4.438,4.781,5.104,5.467,6.133,6.448,6.747,6.998,7.526,8.182,8.525,8.821,9.064,9.326,9.752]",0.0,4.0,4.0,4.0,1.0,41324.0,,30.0,1,2021-01-12_11h10.57.681,Sequence Training,2020.1.3,Win32,60,,,,,,
"[""4"",""1"",""3"",""2"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4""]","[1.946,2.188,2.579,2.868,3.37,4.078,5.417,6.031,6.43,6.843,7.408,7.888,8.216,8.468,8.848,9.217]",0.0,5.0,5.0,5.0,1.0,42314.0,,10.0,1,2021-01-12_11h10.57.681,Sequence Training,2020.1.3,Win32,60,,,,,,
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1""]","[1.137,1.409,1.641,1.932,2.094,2.644,3.105,3.31,4.005,4.375,4.889,5.422,5.646,5.97,6.318,6.765,7.479,7.59,7.883,8.194,8.696,9.251,9.433,9.756]",0.0,6.0,6.0,6.0,1.0,42314.0,,10.0,1,2021-01-12_11h10.57.681,Sequence Training,2020.1.3,Win32,60,,,,,,
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4""]","[1.148,1.721,1.91,2.099,2.352,2.937,3.493,3.644,3.875,4.096,4.539,4.86,5.011,5.231,5.409,6.002,6.479,6.582,6.814,6.982,7.504,8.388,8.471,8.67,8.831,9.551]",0.0,7.0,7.0,7.0,1.0,42314.0,,10.0,1,2021-01-12_11h10.57.681,Sequence Training,2020.1.3,Win32,60,,,,,,
"[""2"",""4"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4""]","[2.045,2.101,3.8,4.201,4.537,4.885,5.387,5.519,5.732,5.919,6.352,7.248,7.566,7.711,8.209,8.719,8.83,9.05,9.226]",0.0,8.0,8.0,8.0,1.0,42314.0,,10.0,1,2021-01-12_11h10.57.681,Sequence Training,2020.1.3,Win32,60,,,,,,
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4""]","[1.498,1.725,1.816,2.001,2.146,2.651,2.999,3.162,3.335,3.502,4.078,4.62,4.956,5.181,5.335,5.891,6.292,6.468,6.651,6.818,7.513,7.899,8.034,8.211,8.361,9.062,9.48,9.626,9.802,9.943]",0.0,9.0,9.0,9.0,1.0,42314.0,,10.0,1,2021-01-12_11h10.57.681,Sequence Training,2020.1.3,Win32,60,,,,,,
