Key_Response.keys,Key_Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Sequences,Repeat,BreakTime,session,date,expName,psychopyVersion,OS,frameRate,Keys_QuestionareQ1.keys,Keys_QuestionareQ1.rt,Keys_QuestionareQ2.keys,Keys_QuestionareQ2.rt,Keys_QuestionareQ3.keys,Keys_QuestionareQ3.rt
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[1.151,1.754,2.696,3.279,3.891,4.312,5.347,6.228,7.156,7.578,8.24,8.91,9.539]",0.0,0.0,0.0,0.0,1.0,41324.0,,10.0,1,2021-01-12_16h48.28.221,Sequence Training,2020.1.3,Win32,60,,,,,,
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[0.648,1.1,1.909,2.498,2.905,3.632,3.955,4.769,5.208,5.562,6.058,7.191,8.23,8.747,9.168,9.593,9.968]",0.0,1.0,1.0,1.0,1.0,41324.0,,10.0,1,2021-01-12_16h48.28.221,Sequence Training,2020.1.3,Win32,60,,,,,,
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[1.582,1.961,2.878,3.544,4.297,5.044,5.816,6.603,7.113,7.498,7.942,8.302,8.951,9.304,9.736]",0.0,2.0,2.0,2.0,1.0,41324.0,,10.0,1,2021-01-12_16h48.28.221,Sequence Training,2020.1.3,Win32,60,,,,,,
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[1.234,3.111,3.894,4.447,5.313,6.022,6.415,7.26,8.22,8.618,9.645,9.978]",0.0,3.0,3.0,3.0,1.0,41324.0,,10.0,1,2021-01-12_16h48.28.221,Sequence Training,2020.1.3,Win32,60,,,,,,
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[0.994,1.357,1.918,2.59,2.973,3.35,3.839,4.574,5.011,5.339,5.698,6.022,6.566,6.922,7.447,7.909,8.24,8.906,9.311,9.807]",0.0,4.0,4.0,4.0,1.0,41324.0,,30.0,1,2021-01-12_16h48.28.221,Sequence Training,2020.1.3,Win32,60,,,,,,
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4""]","[0.622,1.467,1.889,2.35,2.775,3.183,3.566,4.106,4.508,4.893,5.37,5.649,6.155,6.515,6.92,7.315,7.598,8.098,8.504,8.951,9.772]",0.0,5.0,5.0,5.0,1.0,41324.0,,0.0,1,2021-01-12_16h48.28.221,Sequence Training,2020.1.3,Win32,60,,,,,,
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4""]","[1.201,2.184,2.606,3.521,3.918,4.466,4.916,5.642,6.066,6.465,6.987,7.749,8.405,8.787,9.165,9.607]",0.0,6.0,6.0,6.0,1.0,42314.0,,10.0,1,2021-01-12_16h48.28.221,Sequence Training,2020.1.3,Win32,60,,,,,,
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""4"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[1.018,1.734,3.039,3.501,3.849,4.283,4.765,5.383,6.186,6.473,7.688,8.271,8.781,9.015,9.357]",0.0,7.0,7.0,7.0,1.0,41324.0,,0.0,1,2021-01-12_16h48.28.221,Sequence Training,2020.1.3,Win32,60,,,,,,
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3""]","[1.068,1.368,1.611,2.467,2.756,3.717,4.135,4.386,5.343,5.805,8.017,9.224,9.574]",0.0,8.0,8.0,8.0,1.0,42314.0,,10.0,1,2021-01-12_16h48.28.221,Sequence Training,2020.1.3,Win32,60,,,,,,
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[0.687,1.161,1.818,2.656,3.003,3.723,4.317,4.804,5.083,5.591,6.051,6.417,7.032,7.482,7.865,8.315,8.599,9.065,9.336,9.691]",0.0,9.0,9.0,9.0,1.0,41324.0,,0.0,1,2021-01-12_16h48.28.221,Sequence Training,2020.1.3,Win32,60,,,,,,
