Key_Response.keys,Key_Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Sequences,Repeat,BreakTime,session,date,expName,psychopyVersion,OS,frameRate
"[""4"",""1"",""4"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[1.446,1.875,2.395,3.512,3.993,4.933,6.195,6.651,7.237,7.741,8.172,8.931,9.426]",0,0,0,0,1,41324,,10,1,2020-12-29_14h17.38.383,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4""]","[0.969,1.518,2.023,2.499,2.965,3.991,4.461,5.022,5.558,6.056,6.93,7.458,7.979,8.525,9.026,9.946]",0,1,1,1,1,41324,,10,1,2020-12-29_14h17.38.383,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[0.661,1.088,1.569,2.04,2.465,3.246,3.707,4.157,4.598,5.056,5.851,6.319,6.807,7.27,7.802,8.655,9.118,9.81]",0,2,2,2,1,41324,,10,1,2020-12-29_14h17.38.383,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2""]","[0.634,1.041,1.474,1.881,2.282,3.009,3.399,3.809,4.226,4.588,5.338,5.817,6.311,6.861,7.308,8.008,8.442,9.07,9.597]",0,3,3,3,1,41324,,10,1,2020-12-29_14h17.38.383,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4""]","[1.265,1.692,2.155,2.545,2.961,3.988,4.585,5.127,5.59,5.992,6.944,7.424,7.925,8.351,8.763,9.956]",0,4,4,4,1,41324,,30,1,2020-12-29_14h17.38.383,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[0.757,1.168,1.528,1.93,2.307,3.179,3.584,3.991,4.405,4.757,5.746,6.232,6.641,7.014,7.392,8.329,8.746,9.146,9.511,9.879]",0,5,5,5,1,41324,,0,1,2020-12-29_14h17.38.383,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4""]","[2.06,3.311,4.238,5.041,5.513,6.296,6.757,7.176,7.611,8.025,9.26]",0,6,6,6,1,42314,,10,1,2020-12-29_14h17.38.383,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[1.889,2.383,3.175,3.642,4.039,5.073,5.629,6.09,7.158,7.524,8.426,8.985,9.794]",0,7,7,7,1,41324,,0,1,2020-12-29_14h17.38.383,Sequence Training,2020.1.3,Win32,60
"[""2"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4""]","[0.184,2.599,3.25,4.311,4.688,5.08,7.174,7.765,8.226,8.715,9.335]",0,8,8,8,1,42314,,10,1,2020-12-29_14h17.38.383,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4""]","[1.885,2.238,2.699,3.027,3.42,4.59,4.968,5.35,5.729,6.09,7.243,7.581,7.945,8.408,8.764,9.788]",0,9,9,9,1,41324,,0,1,2020-12-29_14h17.38.383,Sequence Training,2020.1.3,Win32,60
"[""1"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1""]","[0.051,2.745,3.393,3.858,4.16,4.485,5.456,5.799,6.216,6.643,7.049,8,8.48,9.293,9.728]",0,10,10,10,1,42314,,10,1,2020-12-29_14h17.38.383,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[0.63,1.09,1.719,2.105,2.503,3.68,4.088,4.815,5.226,5.673,6.531,6.917,7.357,7.688,8.061,9.01,9.398,9.799]",0,11,11,11,1,41324,,0,1,2020-12-29_14h17.38.383,Sequence Training,2020.1.3,Win32,60
"[""2"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3""]","[0.125,1.335,2.508,3.087,3.563,4.016,5.428,5.956,6.504,6.991,7.413,9.056,9.493,9.961]",0,12,12,12,1,42314,,10,1,2020-12-29_14h17.38.383,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[1.486,1.874,2.283,2.631,2.961,4.193,4.591,4.973,5.259,5.635,6.796,7.136,7.509,7.842,8.256,9.189,9.524,9.901]",0,13,13,13,1,41324,,0,1,2020-12-29_14h17.38.383,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2""]","[1.849,2.199,2.648,2.983,3.349,4.318,4.705,5.074,5.45,5.819,6.814,7.191,7.514,7.884,8.246,9.22,9.888]",0,14,14,14,1,42314,,10,1,2020-12-29_14h17.38.383,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[0.994,1.335,1.686,1.972,2.303,3.199,3.504,3.804,4.121,4.471,5.906,6.725,7.197,7.525,7.882,9.062,9.513,9.967]",0,15,15,15,1,41324,,10,1,2020-12-29_14h17.38.383,Sequence Training,2020.1.3,Win32,60
